ID (Epoch timestamp), month, day, hour, minute, accumulated minutes, temperature, rainfall, relative humidity
1702764900,12,17,6,15,375,375,13.44,1.02,85.78
1702764960,12,17,6,16,376,376,13.44,1.02,85.78
1702765020,12,17,6,17,377,377,13.44,1.02,85.78
1702765080,12,17,6,18,378,378,13.44,1.02,85.78
1702765140,12,17,6,19,379,379,13.44,1.02,85.78
1702765200,12,17,6,20,380,380,13.44,1.02,85.78
1702765260,12,17,6,21,381,381,13.44,1.02,85.78
1702765320,12,17,6,22,382,382,13.44,1.02,85.78
1702765380,12,17,6,23,383,383,13.44,1.02,85.78
1702765440,12,17,6,24,384,384,13.44,1.02,85.78
1702765500,12,17,6,25,385,385,13.44,1.02,85.78
1702765560,12,17,6,26,386,386,13.44,1.02,85.78
1702765620,12,17,6,27,387,387,13.44,1.02,85.78
1702765680,12,17,6,28,388,388,13.44,1.02,85.78
1702765740,12,17,6,29,389,389,13.44,1.02,85.78
1702765800,12,17,6,30,390,390,13.44,1.02,85.78
1702765860,12,17,6,31,391,391,13.44,1.02,85.78
1702765920,12,17,6,32,392,392,13.44,1.02,85.78
1702765980,12,17,6,33,393,393,13.44,1.02,85.78
1702766040,12,17,6,34,394,394,13.44,1.02,85.78
1702766100,12,17,6,35,395,395,13.44,1.02,85.78
1702766160,12,17,6,36,396,396,13.44,1.02,85.78
1702766220,12,17,6,37,397,397,13.44,1.02,85.78
1702766280,12,17,6,38,398,398,13.44,1.02,85.78
1702766340,12,17,6,39,399,399,13.44,1.02,85.78
1702766400,12,17,6,40,400,400,13.44,1.02,85.78
1702766460,12,17,6,41,401,401,13.44,1.02,85.78
1702766520,12,17,6,42,402,402,13.44,1.02,85.78
1702766580,12,17,6,43,403,403,13.44,1.02,85.78
1702766640,12,17,6,44,404,404,13.44,1.02,85.78
1702766700,12,17,6,45,405,405,13.50,0.99,86.11
1702766760,12,17,6,46,406,406,13.50,0.99,86.11
1702766820,12,17,6,47,407,407,13.50,0.99,86.11
1702766880,12,17,6,48,408,408,13.50,0.99,86.11
1702766940,12,17,6,49,409,409,13.50,0.99,86.11
1702767000,12,17,6,50,410,410,13.50,0.99,86.11
1702767060,12,17,6,51,411,411,13.50,0.99,86.11
1702767120,12,17,6,52,412,412,13.50,0.99,86.11
1702767180,12,17,6,53,413,413,13.50,0.99,86.11
1702767240,12,17,6,54,414,414,13.50,0.99,86.11
1702767300,12,17,6,55,415,415,13.50,0.99,86.11
1702767360,12,17,6,56,416,416,13.50,0.99,86.11
1702767420,12,17,6,57,417,417,13.50,0.99,86.11
1702767480,12,17,6,58,418,418,13.50,0.99,86.11
1702767540,12,17,6,59,419,419,13.50,0.99,86.11
1702767600,12,17,7,0,420,420,13.50,0.99,86.11
1702767660,12,17,7,1,421,421,13.50,0.99,86.11
1702767720,12,17,7,2,422,422,13.50,0.99,86.11
1702767780,12,17,7,3,423,423,13.50,0.99,86.11
1702767840,12,17,7,4,424,424,13.50,0.99,86.11
1702767900,12,17,7,5,425,425,13.50,0.99,86.11
1702767960,12,17,7,6,426,426,13.50,0.99,86.11
1702768020,12,17,7,7,427,427,13.50,0.99,86.11
1702768080,12,17,7,8,428,428,13.50,0.99,86.11
1702768140,12,17,7,9,429,429,13.50,0.99,86.11
1702768200,12,17,7,10,430,430,13.50,0.99,86.11
1702768260,12,17,7,11,431,431,13.50,0.99,86.11
1702768320,12,17,7,12,432,432,13.50,0.99,86.11
1702768380,12,17,7,13,433,433,13.50,0.99,86.11
1702768440,12,17,7,14,434,434,13.50,0.99,86.11
1702768500,12,17,7,15,435,435,13.55,0.95,86.43
1702768560,12,17,7,16,436,436,13.55,0.95,86.43
1702768620,12,17,7,17,437,437,13.55,0.95,86.43
1702768680,12,17,7,18,438,438,13.55,0.95,86.43
1702768740,12,17,7,19,439,439,13.55,0.95,86.43
1702768800,12,17,7,20,440,440,13.55,0.95,86.43
1702768860,12,17,7,21,441,441,13.55,0.95,86.43
1702768920,12,17,7,22,442,442,13.55,0.95,86.43
1702768980,12,17,7,23,443,443,13.55,0.95,86.43
1702769040,12,17,7,24,444,444,13.55,0.95,86.43
1702769100,12,17,7,25,445,445,13.55,0.95,86.43
1702769160,12,17,7,26,446,446,13.55,0.95,86.43
1702769220,12,17,7,27,447,447,13.55,0.95,86.43
1702769280,12,17,7,28,448,448,13.55,0.95,86.43
1702769340,12,17,7,29,449,449,13.55,0.95,86.43
1702769400,12,17,7,30,450,450,13.55,0.95,86.43
1702769460,12,17,7,31,451,451,13.55,0.95,86.43
1702769520,12,17,7,32,452,452,13.55,0.95,86.43
1702769580,12,17,7,33,453,453,13.55,0.95,86.43
1702769640,12,17,7,34,454,454,13.55,0.95,86.43
1702769700,12,17,7,35,455,455,13.55,0.95,86.43
1702769760,12,17,7,36,456,456,13.55,0.95,86.43
1702769820,12,17,7,37,457,457,13.55,0.95,86.43
1702769880,12,17,7,38,458,458,13.55,0.95,86.43
1702769940,12,17,7,39,459,459,13.55,0.95,86.43
1702770000,12,17,7,40,460,460,13.55,0.95,86.43
1702770060,12,17,7,41,461,461,13.55,0.95,86.43
1702770120,12,17,7,42,462,462,13.55,0.95,86.43
1702770180,12,17,7,43,463,463,13.55,0.95,86.43
1702770240,12,17,7,44,464,464,13.55,0.95,86.43
1702770300,12,17,7,45,465,465,13.60,0.91,86.75
1702770360,12,17,7,46,466,466,13.60,0.91,86.75
1702770420,12,17,7,47,467,467,13.60,0.91,86.75
1702770480,12,17,7,48,468,468,13.60,0.91,86.75
1702770540,12,17,7,49,469,469,13.60,0.91,86.75
1702770600,12,17,7,50,470,470,13.60,0.91,86.75
1702770660,12,17,7,51,471,471,13.60,0.91,86.75
1702770720,12,17,7,52,472,472,13.60,0.91,86.75
1702770780,12,17,7,53,473,473,13.60,0.91,86.75
1702770840,12,17,7,54,474,474,13.60,0.91,86.75
1702770900,12,17,7,55,475,475,13.60,0.91,86.75
1702770960,12,17,7,56,476,476,13.60,0.91,86.75
1702771020,12,17,7,57,477,477,13.60,0.91,86.75
1702771080,12,17,7,58,478,478,13.60,0.91,86.75
1702771140,12,17,7,59,479,479,13.60,0.91,86.75
1702771200,12,17,8,0,480,480,13.60,0.91,86.75
1702771260,12,17,8,1,481,481,13.60,0.91,86.75
1702771320,12,17,8,2,482,482,13.60,0.91,86.75
1702771380,12,17,8,3,483,483,13.60,0.91,86.75
1702771440,12,17,8,4,484,484,13.60,0.91,86.75
1702771500,12,17,8,5,485,485,13.60,0.91,86.75
1702771560,12,17,8,6,486,486,13.60,0.91,86.75
1702771620,12,17,8,7,487,487,13.60,0.91,86.75
1702771680,12,17,8,8,488,488,13.60,0.91,86.75
1702771740,12,17,8,9,489,489,13.60,0.91,86.75
1702771800,12,17,8,10,490,490,13.60,0.91,86.75
1702771860,12,17,8,11,491,491,13.60,0.91,86.75
1702771920,12,17,8,12,492,492,13.60,0.91,86.75
1702771980,12,17,8,13,493,493,13.60,0.91,86.75
1702772040,12,17,8,14,494,494,13.60,0.91,86.75
1702772100,12,17,8,15,495,495,13.65,0.88,87.08
1702772160,12,17,8,16,496,496,13.65,0.88,87.08
